YT_ID,Start_time,End_time,Label,Genre
-8H4GKg-mYQ, 30.000, 40.000,/m/07gxw,Techno
-LQM385KSMY, 30.000, 40.000,/m/06j6l,Rhythm and blues
-NmjCyqIavI, 30.000, 40.000,/m/0y4f8,Vocal music
-_OzT7Xyvok, 30.000, 40.000,/m/06j6l,Rhythm and blues
-elf_5HUVuc, 30.000, 40.000,/m/064t9,Pop music
-gxkMOB4q2g, 60.000, 70.000,/m/06j6l,Rhythm and blues
03z0rpIkm5g, 30.000, 40.000,/m/06cqb,Reggae
07-vpXo91XM, 70.000, 80.000,/m/0glt670,Hip hop music
0ADP-O_V3vA, 30.000, 40.000,/m/06j6l,Rhythm and blues
0AV_U7kjgLU, 190.000, 200.000,/m/064t9,Pop music
0GXfryMBkGw, 500.000, 510.000,/m/0y4f8,Vocal music
0H3FAoDgzhI, 30.000, 40.000,/m/07gxw,Techno
0Q1JLNfm8oU, 30.000, 40.000,/m/06j6l,Rhythm and blues
0RDz0rLakwc, 30.000, 40.000,/m/0glt670,Hip hop music
0exdCRkBniI, 300.000, 310.000,/m/0glt670,Hip hop music
1mB_cboJR8s, 130.000, 140.000,/m/0y4f8,Vocal music
20PVszdZws8, 30.000, 40.000,/m/06j6l,Rhythm and blues
21ZXw4B2-5M, 30.000, 40.000,/m/064t9,Pop music
2BdYaGuVAKo, 30.000, 40.000,/m/064t9,Pop music
2RMOegT2Jn8, 30.000, 40.000,/m/06j6l,Rhythm and blues
2SenLjPbGzU, 30.000, 40.000,/m/06j6l,Rhythm and blues
2ZYzviKuq9w, 30.000, 40.000,/m/0glt670,Hip hop music
2zVLWnsArHw, 30.000, 40.000,/m/064t9,Pop music
30tNWUyJCog, 140.000, 150.000,/m/06cqb,Reggae
3KdyWJ6wTOw, 30.000, 40.000,/m/0glt670,Hip hop music
3cEQfNZ_F1w, 30.000, 40.000,/m/064t9,Pop music
3cjvSCrR51E, 30.000, 40.000,/m/06j6l,Rhythm and blues
3o1k__5LMr4, 210.000, 220.000,/m/06j6l,Rhythm and blues
3zPvfVmL0nE, 550.000, 560.000,/m/06by7,Rock music
46WpyRUqwXU, 30.000, 40.000,/m/0y4f8,Vocal music
4GlH0-KhInI, 30.000, 40.000,/m/07gxw,Techno
4Lk8pUeLCwQ, 60.000, 70.000,/m/0glt670,Hip hop music
4QES-SJ7mP0, 210.000, 220.000,/m/0glt670,Hip hop music
4mGTN6Xrf7w, 30.000, 40.000,/m/07gxw,Techno
4vwCSbfik18, 80.000, 90.000,/m/07gxw,Techno
53UF6F7D284, 30.000, 40.000,/m/064t9,Pop music
5CYBArWESgA, 40.000, 50.000,/m/0glt670,Hip hop music
5CtvEcPtknI, 200.000, 210.000,/m/06by7,Rock music
5D4siJjh1j0, 30.000, 40.000,/m/06j6l,Rhythm and blues
5JqTvKNXzOw, 30.000, 40.000,/m/064t9,Pop music
5s0yPPrQWxs, 100.000, 110.000,/m/06cqb,Reggae
65KYS3lIRII, 380.000, 390.000,/m/07gxw,Techno
67S7s_jFXhc, 30.000, 40.000,/m/06j6l,Rhythm and blues
68DacKw1hlE, 80.000, 90.000,/m/064t9,Pop music
6C0HoQe4Y-Y, 160.000, 170.000,/m/0y4f8,Vocal music
6II4JGJDyZo, 310.000, 320.000,/m/064t9,Pop music
6OVb3rjcB3Q, 570.000, 580.000,/m/06by7,Rock music
6PWiDlWmPs0, 30.000, 40.000,/m/06j6l,Rhythm and blues
6RmVECh3_YQ, 120.000, 130.000,/m/0glt670,Hip hop music
6o6DsSnbpxE, 60.000, 70.000,/m/06cqb,Reggae
6xxu6f0f0e4, 60.000, 70.000,/m/0glt670,Hip hop music
6zDSXOtWwZE, 320.000, 330.000,/m/06cqb,Reggae
7FkuqqdWRhw, 170.000, 180.000,/m/06j6l,Rhythm and blues
7Msk_hkz6zk, 30.000, 40.000,/m/06j6l,Rhythm and blues
7Mv4eKPe850, 110.000, 120.000,/m/06by7,Rock music
7avMUhHOCR8, 30.000, 40.000,/m/064t9,Pop music
82BJ6Fe3ZTo, 260.000, 270.000,/m/07gxw,Techno
8AJGu3aOl2w, 30.000, 40.000,/m/064t9,Pop music
8OsmFmhNjoA, 30.000, 40.000,/m/06j6l,Rhythm and blues
8TVgx-oXkWA, 10.000, 20.000,/m/064t9,Pop music
8nXNlU9Ghbw, 0.000, 10.000,/m/07gxw,Techno
8pit9UV69S8, 0.000, 10.000,/m/06by7,Rock music
8pl1D6oG38k, 30.000, 40.000,/m/06j6l,Rhythm and blues
8t_2JvyuPn0, 30.000, 40.000,/m/07gxw,Techno
8wty3wJfmEY, 330.000, 340.000,/m/06cqb,Reggae
9CJu43AvIds, 30.000, 40.000,/m/06j6l,Rhythm and blues
9JlifkCmUOk, 290.000, 300.000,/m/06by7,Rock music
9UOPRQhNzQ8, 30.000, 40.000,/m/06j6l,Rhythm and blues
9ZUzftiN2uw, 10.000, 20.000,/m/06by7,Rock music
9cojCCMSABc, 30.000, 40.000,/m/064t9,Pop music
9kt7rsziUVQ, 140.000, 150.000,/m/06by7,Rock music
9oiSwXk8Nsk, 590.000, 600.000,/m/0glt670,Hip hop music
9ziKfjHWqZ0, 40.000, 50.000,/m/0y4f8,Vocal music
9zmQwBUFwd4, 0.000, 10.000,/m/06j6l,Rhythm and blues
A4d6LMzHH48, 80.000, 90.000,/m/07gxw,Techno
A8CJ4YSsUgs, 200.000, 210.000,/m/064t9,Pop music
AFWy1qyyMHE, 30.000, 40.000,/m/06cqb,Reggae
ARXTRdKCupM, 30.000, 40.000,/m/06by7,Rock music
AUF2dtKGH-o, 30.000, 40.000,/m/06cqb,Reggae
AUPmWhim37Y, 30.000, 40.000,/m/06j6l,Rhythm and blues
AaUZb-iRStE, 80.000, 90.000,/m/06by7,Rock music
AazEalrc1nE, 30.000, 40.000,/m/064t9,Pop music
B3WaJ_3M0vw, 30.000, 40.000,/m/064t9,Pop music
B4a0bqOCJdY, 40.000, 50.000,/m/064t9,Pop music
BE75JIPnEas, 30.000, 40.000,/m/064t9,Pop music
BUDb8YieUgU, 140.000, 150.000,/m/07gxw,Techno
BYi0fAZtBls, 30.000, 40.000,/m/06j6l,Rhythm and blues
BgTB_xt11bA, 30.000, 40.000,/m/0glt670,Hip hop music
BiPwCMlghhQ, 120.000, 130.000,/m/06cqb,Reggae
BlKWixPC-xw, 30.000, 40.000,/m/06cqb,Reggae
ByF0pp-dVEo, 150.000, 160.000,/m/0y4f8,Vocal music
C0AQyOVGvFM, 100.000, 110.000,/m/06j6l,Rhythm and blues
C2Kx6S0pU9g, 40.000, 50.000,/m/0y4f8,Vocal music
C6-JxDWYJ-A, 70.000, 80.000,/m/06by7,Rock music
CM2rKZmcR0I, 80.000, 90.000,/m/0glt670,Hip hop music
CVcySsjK8Es, 30.000, 40.000,/m/07gxw,Techno
CZmjSr9_TDM, 30.000, 40.000,/m/064t9,Pop music
CdWA-SNcYpM, 160.000, 170.000,/m/06by7,Rock music
CnK7EH2iEe0, 30.000, 40.000,/m/06cqb,Reggae
Cp0UTM-IzjM, 30.000, 40.000,/m/07gxw,Techno
CqFBXaDXDkI, 30.000, 40.000,/m/07gxw,Techno
CwmUMySSNQc, 30.000, 40.000,/m/064t9,Pop music
Cy5OtQ28wcg, 30.000, 40.000,/m/07gxw,Techno
D644BWAUOXo, 120.000, 130.000,/m/0y4f8,Vocal music
DSC1L39iGHw, 30.000, 40.000,/m/07gxw,Techno
DSI9gamPHmA, 30.000, 40.000,/m/07gxw,Techno
DYp8940tHso, 0.000, 10.000,/m/06by7,Rock music
EKGL6qVpZg8, 150.000, 160.000,/m/0glt670,Hip hop music
EUXzaPENUV4, 210.000, 220.000,/m/0glt670,Hip hop music
EpaCWSbAzPE, 30.000, 40.000,/m/07gxw,Techno
EtOoQFa5ug8, 30.000, 40.000,/m/07gxw,Techno
FGZ0sLt4dXA, 80.000, 90.000,/m/064t9,Pop music
FdPaa6WR2F8, 30.000, 40.000,/m/07gxw,Techno
G8iTuTi8ywU, 90.000, 100.000,/m/064t9,Pop music
GFGwPa9d9XQ, 30.000, 40.000,/m/064t9,Pop music
GJTcbd2bWHQ, 30.000, 40.000,/m/064t9,Pop music
GRdzFvQezUE, 80.000, 90.000,/m/06cqb,Reggae
GcOOmVSM8Uw, 110.000, 120.000,/m/06by7,Rock music
GcYeBWujhjw, 10.000, 20.000,/m/06by7,Rock music
GfsVr9m7fc4, 510.000, 520.000,/m/06j6l,Rhythm and blues
Gh4KBdcCU64, 160.000, 170.000,/m/0y4f8,Vocal music
HMQfp_qtF-M, 220.000, 230.000,/m/0y4f8,Vocal music
He63KV_9Pwg, 60.000, 70.000,/m/064t9,Pop music
HfBh3lZZi8Q, 100.000, 110.000,/m/0y4f8,Vocal music
Hg1aI1eikSc, 50.000, 60.000,/m/06j6l,Rhythm and blues
HkCYA4ax4jI, 70.000, 80.000,/m/06j6l,Rhythm and blues
HpE24mIvhtY, 100.000, 110.000,/m/0glt670,Hip hop music
I06TOd9pXng, 0.000, 10.000,/m/0glt670,Hip hop music
IDQ6RjIDLj4, 380.000, 390.000,/m/06cqb,Reggae
IFumVgqOVaM, 10.000, 20.000,/m/064t9,Pop music
IPO79GrOYjg, 270.000, 280.000,/m/064t9,Pop music
I_a9OhfTcIc, 10.000, 20.000,/m/0y4f8,Vocal music
I_kUf7vgVNM, 80.000, 90.000,/m/07gxw,Techno
IhlKHgORrgM, 120.000, 130.000,/m/07gxw,Techno
IixdqPQmhwQ, 180.000, 190.000,/m/06j6l,Rhythm and blues
Imx4NxQ3N0g, 30.000, 40.000,/m/06cqb,Reggae
InfQUMh935c, 30.000, 40.000,/m/06by7,Rock music
Ir82jewhXCo, 0.000, 10.000,/m/06by7,Rock music
J0t4VMnXDNM, 0.000, 10.000,/m/0glt670,Hip hop music
JFGNmPzPXeA, 30.000, 40.000,/m/06cqb,Reggae
JOkuwbhMxbQ, 30.000, 40.000,/m/07gxw,Techno
J_Raltj-6dk, 30.000, 40.000,/m/0glt670,Hip hop music
JlzlNpttvVM, 30.000, 40.000,/m/06j6l,Rhythm and blues
JwVUq6EZEiE, 50.000, 60.000,/m/06by7,Rock music
JzJCn-puzS4, 150.000, 160.000,/m/07gxw,Techno
K7MqKXtsRFg, 220.000, 230.000,/m/0glt670,Hip hop music
K9zE9x2ccJk, 80.000, 90.000,/m/064t9,Pop music
KKgYvcfrxj4, 110.000, 120.000,/m/06by7,Rock music
KOb-tRHYK68, 420.000, 430.000,/m/07gxw,Techno
KSFND-AdqZs, 90.000, 100.000,/m/06by7,Rock music
KU2bOYiBX28, 80.000, 90.000,/m/06by7,Rock music
KiIXsM_m6u4, 250.000, 260.000,/m/06by7,Rock music
Kt2MwCHV3Ko, 30.000, 40.000,/m/07gxw,Techno
Kv0hzGRKVYM, 30.000, 40.000,/m/06j6l,Rhythm and blues
KxZ0yDfyaJw, 30.000, 40.000,/m/0glt670,Hip hop music
L0-l1LIa22g, 50.000, 60.000,/m/06cqb,Reggae
LWIHz5kao3g, 30.000, 40.000,/m/0glt670,Hip hop music
LnL3KFKGqHE, 30.000, 40.000,/m/0glt670,Hip hop music
LvpImXJMryI, 30.000, 40.000,/m/06j6l,Rhythm and blues
M-RX7LqL50A, 90.000, 100.000,/m/0y4f8,Vocal music
MC0Aeu7RLSI, 30.000, 40.000,/m/06cqb,Reggae
MI9hzmwx9TY, 110.000, 120.000,/m/07gxw,Techno
MMGAKKhqxKg, 160.000, 170.000,/m/064t9,Pop music
MQ1Q7xydJPU, 220.000, 230.000,/m/06by7,Rock music
MVAXHT67Na4, 10.000, 20.000,/m/064t9,Pop music
Mqtl7aWa8vU, 160.000, 170.000,/m/06j6l,Rhythm and blues
MuwgY_TRTW0, 40.000, 50.000,/m/064t9,Pop music
NC5tIv4-8fg, 130.000, 140.000,/m/06j6l,Rhythm and blues
NQXQsVawPhU, 30.000, 40.000,/m/0glt670,Hip hop music
NZ2kFIaW05k, 450.000, 460.000,/m/06j6l,Rhythm and blues
NsR60ehkHGA, 30.000, 40.000,/m/0glt670,Hip hop music
O3Cvn4yXrao, 120.000, 130.000,/m/06cqb,Reggae
O6T1PeAtYtc, 30.000, 40.000,/m/07gxw,Techno
OHZZuO2vY50, 30.000, 40.000,/m/0y4f8,Vocal music
OJuVsBojdvo, 30.000, 40.000,/m/0y4f8,Vocal music
Ou2rEaq28PM, 350.000, 360.000,/m/06cqb,Reggae
OvjmfGU4y_M, 190.000, 200.000,/m/064t9,Pop music
OyRtTtTSXuM, 30.000, 40.000,/m/0glt670,Hip hop music
PBMfPDei93s, 200.000, 210.000,/m/06j6l,Rhythm and blues
PTyc4btTDco, 70.000, 80.000,/m/0y4f8,Vocal music
PYAheE66kdc, 20.000, 30.000,/m/06j6l,Rhythm and blues
PdgswSjYhMw, 70.000, 80.000,/m/06by7,Rock music
PnJx0uLJ_oE, 140.000, 150.000,/m/06cqb,Reggae
PqN7aT4dVN4, 390.000, 400.000,/m/06cqb,Reggae
PxxyplPsqBY, 30.000, 40.000,/m/07gxw,Techno
QQTWFTNy-WA, 50.000, 60.000,/m/0glt670,Hip hop music
Qm7A28U2zL8, 80.000, 90.000,/m/07gxw,Techno
REpuZwvyThM, 30.000, 40.000,/m/06j6l,Rhythm and blues
RM4IjR3DtrQ, 60.000, 70.000,/m/0y4f8,Vocal music
RQcZGTCVqK4, 20.000, 30.000,/m/06cqb,Reggae
RaLu8H2j0FU, 430.000, 440.000,/m/06j6l,Rhythm and blues
RmDfwz0OG8E, 230.000, 240.000,/m/0glt670,Hip hop music
S2iQDfVsVDM, 30.000, 40.000,/m/07gxw,Techno
S7R3NMq3MKk, 90.000, 100.000,/m/06cqb,Reggae
SKQbQXPjmvE, 70.000, 80.000,/m/06by7,Rock music
SYVcaQ1Bzu8, 110.000, 120.000,/m/0glt670,Hip hop music
SijRZIQUa08, 180.000, 190.000,/m/0y4f8,Vocal music
SizmZ6e2uOo, 30.000, 40.000,/m/06cqb,Reggae
T0OFKHj6878, 30.000, 40.000,/m/0glt670,Hip hop music
T2zoWLYzEpo, 310.000, 320.000,/m/064t9,Pop music
T8U3ihbHh9A, 0.000, 10.000,/m/06by7,Rock music
T9hK44Ki8_A, 30.000, 40.000,/m/06by7,Rock music
TG5UPwCDtWY, 30.000, 40.000,/m/06by7,Rock music
TabaOeYq2ek, 70.000, 80.000,/m/06cqb,Reggae
TqIptTnXb20, 100.000, 110.000,/m/0y4f8,Vocal music
